feedback,category,sentiment
Some of the teachers are not well experienced but they are interactive and helpful and punctual.,Teaching,Positive
not all the teachers are teaching well but it's fine,Teaching,Neutral
EXCELLENT,Teaching,Positive
"The faculty is good ,interaction between student and teacher is also good",Teaching,Positive
not good,Teaching,Negative
some of our faculty member are not so experienced that's why most of the time we are facing problems subjects like CSE(c++),Teaching,Negative
its to good,Teaching,Positive
everything is good,Teaching,Positive
"everything is good but when coming to some lectures who dont have a good grip on subject,they dont behave well with students and they dont even teach all the concepts in the subject.",Teaching,Negative
excellent,Teaching,Positive
"everything was good regarding to university but, some lecturers don't have grip on the subject and lag in the teaching",Teaching,Neutral
normal,Teaching,Neutral
teaching activities of our university is good. i am satisfied with it.,Teaching,Positive
GOOD,Teaching,Positive
everything is good for faculty,Teaching,Positive
satisfactory,Teaching,Positive
all are good,Teaching,Positive
good but not good . sir improve the subject,Teaching,Neutral
"The university is good but it also has a long way to go. More teachers should have their PhD and college fests related to academic curriculum must be improved to a great extent and must be managed properly.The interaction is good, lecture delivery needs more lucidity. The punctuality is top notch.",Teaching,Neutral
"our university is good in punctuality,lecture delivery but it is not good in terms of interaction",Teaching,Positive
"interaction is very less ,when it comes to lecture delivery its fine but the co cordination not there between the lectueres",Teaching,Negative
All lectures are giving their best to teach the students,Teaching,Positive
our university is very good but in terms of interaction of teachers wd students is not at all fair because they interact wd only students understands his/her teaching they don't make remaining students to understand the topic,Teaching,Negative
The university consists of a whole world in itself.It is diverse and manages to conduct all events properly.I love being the part of this university where we get equal and all opportunities in all respects and fields.,Teaching,Positive
"teachers are pretty interactive,But it all depends on the student to gain as much as knowledge he can from the teacher.Teachers are punctual and very helpful during exams time.",Teaching,Positive
teaching delivery is good .but it is better to reduce there speed of  lecture delivery to understand the student better,Teaching,Neutral
"overall rating on this activity is 4.5/5 .very nice teaching and interaction between students and lectures was good, every time there will be new and fresh style in  delivering the lectures ,thanks.",Teaching,Positive
"excellent, but reduse the speed of teaching  ,up to understand the students",Teaching,Neutral
"teaching is ok but the interaction with the students need to improve, i mean they have to focus on dull students more  than intelligents....",Teaching,Neutral
Interaction is good but it should b more ...rest is too perfect,Teaching,Positive
"teachers are good in subject,and punctuality",Teaching,Positive
Everything would be fine if there are less number of students in our btech CSE.,Teaching,Neutral
faculties are doing quite well but need more senior lecturers.,Teaching,Neutral
satisfied,Teaching,Positive
"examination department is not good, teaching is quite good, I cant get extra time for extra knowledge, interaction is good",Teaching,Positive
Well and Good,Teaching,Positive
university management is extordinary but some of the faculty is very bad,Teaching,Neutral
"some lectures are excellent,but not everyone",Teaching,Neutral
It is very good learning in this university,Teaching,Positive
its  booring,Teaching,Neutral
teaching is good but some lecturers are showing partiality between south people and north people,Teaching,Neutral
"teaching is good but some teachers are not able to interact properly and are not able to clear the concepts properly, teachers are punctual.",Teaching,Neutral
"Everything is very good. Interaction part is something like teachers mostly interact with each and every student, lecture delivery is very good and punctuality always maintains.",Teaching,Positive
"I am very much satisfied with teaching faculty interms of iteraction,lecture delivery, punctuality etc",Teaching,Positive
they are showing partiality between north indians and south indians,Teaching,Negative
"Interaction is satisfying, Lecture delivery is Good, Punctuality is Excellent",Teaching,Positive
staff is showing partiality between north indians and south indians,Teaching,Negative
excellent university  the mode of teaching is completely different than any other university in india. lecturers are very friendly with every one they interact just like friends and they are very punctual,Teaching,Positive
lecture delivery and punctuality was good but the interaction with students was not good.,Teaching,Neutral
punctuality and lecture is good here but interaction isn't good.,Teaching,Neutral
good enough,Teaching,Positive
"In this university there is good interaction with the students, Teachers in this university can deliver the lectures effectively, There is good punctuality in this university",Teaching,Positive
Very good indeed.,Teaching,Positive
"Teaching is excellent,but lecture delivery is not up to the mark.Punctuality is good",Teaching,Positive
interaction of some faculty was good but not all faculty..,Teaching,Neutral
"good, and also like the teaching style",Teaching,Positive
"Interaction between students and teachers is good ,The lectures delivery is fine, punctuality is good",Teaching,Positive
not bad,Teaching,Positive
Its Quite Good,Teaching,Positive
very good indeed,Teaching,Positive
not bad..,Teaching,Positive
teaching is good some lecturers are showing partiality between south people and north people,Teaching,Neutral
I WAS A STUDENT OF A BOARDING SCHOOL .....(jnv) I STUDIED FOR 7  YEARS THERE RESIDING IN HOSTEL ..NOW LIVING IN LPU IS SAME LIKE THAT..AND STILL MORE SAME AND PUNCTUALITY IS SHOWN HERE BY BOTH TEACHERS AND STUDENTS...AND ALSO BY THE STAFF..          SECURITY IS ABOVE 90%(IN CASE OF  STUDENT IS WELL MANURED)  ....CLASSES REGULAR ....SPORTS DAILY.....PARTICIPATION WELL/.......QUALITY BELOW AVERAGE,Teaching,Neutral
All terms are good regarding the university activities,Teaching,Positive
intraction is good and leacture delivery also good and then punctuality is also is good,Teaching,Positive
all the given terms are good regarding the university,Teaching,Positive
All the terms are good regarding the university activities.,Teaching,Positive
Some of the teacher are un experienced. Also they are unfair and baised. Infact many of the teachers are having few or no experience about the subject,Teaching,Negative
IT IS GOING GOOD,Teaching,Positive
content of courses are average,Course Content,Neutral
Not good,Course Content,Negative
All courses material provide very good knowledge in depth .,Course Content,Positive
"Content of course is perfectly in line with the teaching philosophy that is being perpetuated here i.e cramming,rote learning.",Course Content,Negative
content of courses improves my knowledge,Course Content,Positive
Yes,Course Content,Positive
Good,Course Content,Positive
This semester university has provide best teachers,Course Content,Positive
Needs some improvement,Course Content,Negative
Knowledge  and depth of the course  is good but while coming to the material it's not upto the mark.,Course Content,Neutral
"Knowledge,depth of course is good but course material are not upto the mark",Course Content,Neutral
course content is knowledgeable,Course Content,Positive
Content of the courses is good but some courses need improvement. Course material is not upto the mark.,Course Content,Negative
Very good,Course Content,Positive
Material of the course is not good enough,Course Content,Negative
sometimes proper course material is not required.,Course Content,Negative
Easily available course material with sufficient knowledge gaining,Course Content,Positive
"The materials or links provided for study purpose is good, clarity in depth of courses but again it differs from teacher to teacher.",Course Content,Positive
The course notes are very knowledgeable and proper.,Course Content,Positive
content of the courses are update and mostly based on current technology.,Course Content,Positive
Teachers are not giving depth of course . They trying to cover there work only .,Course Content,Negative
good,Course Content,Positive
every thing is fine,Course Content,Positive
It's appreciable,Course Content,Positive
Satisfied,Course Content,Positive
The books that are recommended do not contain appropriate content; leads the students to depend on slides given by teachers. Hence the knowledge remains superficial,Course Content,Negative
Awesome,Course Content,Positive
It is proper,Course Content,Positive
Courses are very good and useful,Course Content,Positive
Its good,Course Content,Positive
Everything is fine. Every thing is taught in depth.Even a single point is elaborated enough to understand.,Course Content,Positive
content is good enough,Course Content,Positive
Accurate,Course Content,Positive
Perfect,Course Content,Positive
the material provided is beneficial and provides much knowledge,Course Content,Positive
fully knowledgeable,Course Content,Positive
well planned,Course Content,Positive
ok,Course Content,Positive
average,Course Content,Neutral
content is very knowledgable and gives us huge knowledge of every subject,Course Content,Positive
"content is enough, we donot need more.",Course Content,Positive
good quallity content but some teachers donot upload ppts on time,Course Content,Neutral
course content is good,Course Content,Positive
the content of the course is knowledgeable,Course Content,Positive
subjects are appropriate but much depth is required as syllabus includes only basics not the details,Course Content,Neutral
some courses are irrelevant as they are not related to my stream.,Course Content,Negative
there are many courses which are irrelevant to the branch. some topics are not covered. There is no proper material for any course,Course Content,Negative
not too bad,Course Content,Positive
course material is perfect,Course Content,Positive
not bad,Course Content,Positive
IP is provided to the students which is very helpful for the students.,Course Content,Positive
depth of course is less on the other hand knowledge and material is good,Course Content,Neutral
content does not provide deep knowledge,Course Content,Negative
sometime it is irrelevent with the ongoing courses.,Course Content,Negative
average(in one term there should be only two major subjects based on numerical),Course Content,Neutral
some of them are very helpful and knowledgeable and some are just formality,Course Content,Neutral
"very knowledgeable, some subjects do not have dedicated material like books available",Course Content,Neutral
optimum content,Course Content,Positive
very good,Course Content,Positive
it is not appropriate,Course Content,Negative
Satisfied knowedgeable and proper course material,Course Content,Positive
"Good, but there should be at least one a practical subject in every semester",Course Content,Positive
good.,Course Content,Positive
it is not very deep,Course Content,Negative
course contents are very much relevant to our courses,Course Content,Positive
The course structure is good and follows todays technology. Some subjects portion are too vast and are difficult to cover in 1 sem,Course Content,Neutral
GOOD,Course Content,Positive
content of the course is good,Course Content,Positive
syllabus is not in debth,Course Content,Negative
Excellent,Course Content,Positive
as per the courses all the sub are providing  worth knowledge,Course Content,Positive
i dont know,Course Content,Neutral
regarding the courses everything is good,Course Content,Positive
coming to the courses these are very well planned... and it all depends on the lectures.,Course Content,Positive
upto the mark,Course Content,Positive
It is so good.,Course Content,Positive
excellent,Course Content,Positive
content of course is ample but depth must be more,Course Content,Neutral
COURSE IS GOOD NO PROPER COURSE MATERIAL,Course Content,Neutral
Content of the courses should be changed a bit. More of industry oriented feature like Linux and GitHub must be implemented. Proper detailing and advanced knowledge is required and is to be instilled in the students.The course material is good.,Course Content,Negative
"good it was knowledgeable,depth of the course is good,there is but proper course materials in only for some  subjects",Course Content,Positive
very good and you can also increase the standard of Courses,Course Content,Positive
The courses available in the university have got a scope and the teaching of these courses goes on with the point of view of bringing out the best from the student by indulging them in different activities and projects.,Course Content,Positive
content of course is more than enough to get the basics of that particular subject.,Course Content,Positive
courses are also good .but lt of subjects in cse departments at 1st year it feels like burden upon us,Course Content,Neutral
my rating in this is 4/5,Course Content,Positive
"good,they work very hard for us",Course Content,Neutral
syllabus is more which required time ..it should b less so that student can proper concentrate getting the knowlegde instead of just covering the syllabusgood,Course Content,Negative
when compared to other universities we need better material and exposure.,Course Content,Negative
the content of the course should be increased with the depth.,Course Content,Negative
content provided by you is excellent so that we learnt more and more about that particular subject,Course Content,Positive
content of course is appropriate,Course Content,Positive
The content of course should be increase with depth,Course Content,Negative
In my opnion very less content is their in our syllabus..it will be good if there is more syllabus and depth included in our syllabus,Course Content,Negative
some of the faculty are not uploading ppts,Course Content,Negative
it is good learning these courses,Course Content,Positive
its very tough and very diffcult to understand,Course Content,Negative
Nice,Course Content,Positive
yeah! well some of the faculty are not teaching well but the schedule of the university are superb ... and university asked feedback from us .that is really helpful,Course Content,Neutral
The content of the courses are good but depth of courses are not enough to get the good concepts.,Course Content,Neutral
content is sufficient for us,Course Content,Positive
"I like communication classes,courses are good",Course Content,Positive
they are giving good knowledge for us,Course Content,Positive
"Knowledgeable is Good, Depth of course is satisfying, proper course material is also good",Course Content,Positive
its good,Course Content,Positive
every thing is good subjects have a very good depth almost all the  books are available   in the library and more than that 4/5,Course Content,Positive
Its nice .,Course Content,Positive
not good,Course Content,Negative
"The material provided in this university is depth of course, The courses in this university is knowledgeable",Course Content,Positive
The depth of course is very much  deep. According to me its very essential,Course Content,Positive
Some subjects are good and predictable.Remaining courses are not satisfactory,Course Content,Neutral
depth  of course was good ....providing a basic knowledge not so deep in subjects....at least they should provide deep knowledge and syllabus in core subjects...,Course Content,Neutral
I like this very much because every subject is linked up with real life situations and every thing in the subject is use full,Course Content,Positive
"depth of the course are depended on the level of student intake, course material is delivered after the class in UMS",Course Content,Neutral
Pretty Good,Course Content,Positive
Is good,Course Content,Positive
not good enough.. we want something more.,Course Content,Negative
LESS TIME FOR STUDY ...LESS TIME FOR PAPER ATTEMTING...LESS TIME FOR EVERY THING ....LESS KNOWLEGE.....LESS DEPTH OF COURSE .....BUT PROPER COURSE MATERIAL ACCORDING TO EXAM,Course Content,Negative
knowledge is maximum gained by reading books also the teachers explain depth if we are interested to know about it.,Course Content,Neutral
HAVE TO IMPROVE,Course Content,Negative
every one can tell depth of course but some one only give notes,Course Content,Neutral
we are getting maximum knowledge,Course Content,Positive
Knowledge is maximum gained  by reading books and also teachers explain the concept in depth.,Course Content,Positive
Its fine but it should focus more towards practical knowledge rather than content based. It would be helpful for us.,Course Content,Neutral
examination pattern is good,Examination,Positive
Good,Examination,Positive
"Exam pattern is up to the mark and the Cgpa depends on the various marks distributions like ca, mte etc which is very nice as compare to other institutions. Paper checking does not depend on length of ques but on the material which is the best part of it.",Examination,Positive
Again the university tests students of their ability to memorize stuff. Questions should emphasize more on concepts rather than testing brain's cramming storage house.,Examination,Negative
Yes,Examination,Positive
I like the question pattern,Examination,Positive
"This university is far better than other university when coming to the exam pattern,marks disturbation and while coming to paper checking no biased corrections equal to all.",Examination,Positive
Great,Examination,Positive
exam pattern is good and good paper checking.,Examination,Positive
Pattern and procedure of the examination is very good. Paper checking needed to be improved.,Examination,Neutral
Excellent,Examination,Positive
Good marks distribution Students can easily check there performance throught the semester,Examination,Positive
"Exam pattern and how it is conducted is really seems to be good but it's my first year and when I went to scrutiny for the first time it was not as per my expectations. Teachers have marked the answers as per their choice, they must look for the content rather than the length of answers. So poor paper checking is there.",Examination,Neutral
Descent.,Examination,Positive
Excellect,Examination,Positive
exam pattern and marks distribution is very well procedure,Examination,Positive
Average,Examination,Neutral
It is statisfactory.,Examination,Positive
not so good,Examination,Negative
all good,Examination,Positive
"Not that much good 
Students are working so hard
But they aren't getting satisfactory result",Examination,Negative
All are good except paper checking. It should be improved,Examination,Neutral
Overall all these things are the plus point of the university,Examination,Positive
Notbad,Examination,Positive
It is very gud,Examination,Positive
Examination pattern is good but marks distribution very confusing,Examination,Neutral
"Exam pattren is good, marks distribution is also good bt paper cheacking is very tight.",Examination,Positive
Everything is fine.,Examination,Positive
satisfactory,Examination,Positive
Very good,Examination,Positive
Accurate,Examination,Positive
it is neither too good nor too bad,Examination,Neutral
good,Examination,Positive
"examination pattern, marks, paper checking is good.",Examination,Positive
"too many examination, we are frustrated",Examination,Negative
too much examinations,Examination,Neutral
average,Examination,Neutral
examination including exam pattern is good in some ways.MCQs shouls given to students for the preparation of exams.,Examination,Positive
the level of examination should be raised. Questions with reasoning must be included,Examination,Negative
ok,Examination,Positive
fair marking scheme and adaptable pattern,Examination,Positive
pattern of examination is good but paper checking is not at all going in a good way.,Examination,Neutral
there should not be negative marking,Examination,Negative
all things are good,Examination,Positive
not bad,Examination,Positive
All is good .,Examination,Positive
"I like it , i am satisfied all these work",Examination,Positive
excellent,Examination,Positive
quite good,Examination,Positive
very poor,Examination,Negative
exam pattern is good and good paper checking but paper checking can be improved,Examination,Positive
"exam pattern is good, very well marks distribution and paper checking varies from faculty to faculty.",Examination,Positive
all excellent,Examination,Positive
marks distribution is good but paper checking is not that well,Examination,Neutral
satisfied,Examination,Positive
Very Tough,Examination,Negative
good.,Examination,Positive
it is good,Examination,Positive
bad,Examination,Negative
Examination pattern is good but mcq paper checking marks are not correct sometimes.,Examination,Neutral
very strict,Examination,Negative
It is a good way in pattern,Examination,Positive
Not good,Examination,Negative
as per the exam pattern maths exam always have to be subjective rather than objective.,Examination,Negative
its very bad thing not sowing answer of mcQ in exam we dont jiged what is rigth and rong where mak mistacvk,Examination,Negative
coming to the examinations it is good,Examination,Positive
In CA's its in the hands of lectures... while in mte's and ete's its good.,Examination,Neutral
i think mid trem should be also subjective,Examination,Neutral
exam pattern and marks distribution are good,Examination,Positive
very good,Examination,Positive
Examination pattern and marks distribution all the terms are good.Ca and MTE also give the chance to students for improving.,Examination,Positive
GOOD,Examination,Positive
in examinations please try to give question papers,Examination,Neutral
GOOD AND STRICT,Examination,Positive
not much good,Examination,Negative
exams conducting is very good .but paper correction is very bad,Examination,Neutral
The examination pattern is good. More of logic based and subjective questions to be asked which is based upon conceptual learning. Paper checking must be done in a more lucid manner because many doubts arise with the checking of OMR sheet.,Examination,Neutral
all these are good,Examination,Positive
the best pattern of examination are in lpu .,Examination,Positive
mid term percentage should be increased so that students get more choice to get success in the examinations,Examination,Neutral
The examination system of the university is very impressive.The sitting plan of he students is made in such a way that no 2 students of same class give the exam in same room or even sometimes same blocks.Through this students also get to know and visit different blocks of the university.The checking is also fair .,Examination,Positive
Everything is pretty well organised,Examination,Positive
very good 5/5,Examination,Positive
for some subjects like maths and english(passage writing) the time duration neds to increase,Examination,Negative
"Pattern is good ...marks distribution that includes ca,mt,et ,nd attendence all that is  little complicated",Examination,Neutral
every thing is fine.,Examination,Positive
Probably the best part of university is its examination and its pattern.,Examination,Positive
"I have never seen this type of examination,,,,,,,very GOOD  pattern",Examination,Positive
"examination checking sucks here , don't knw why I get low marks even if 4 qustions are wrong . answer key of exam is absurd, discrepancy system is not advantageous, answers of exam not right, omr should be uploaded",Examination,Negative
It is best,Examination,Positive
"examination pattern is good but,,there is blunder mistake.that is we ha no alternate to check the mistake where we have done morever no question papers also not given for discussion.so i suggest to..provide option for checking mistakes in the MCQ exams such as midterm.",Examination,Negative
time not sufficient,Examination,Negative
exam pattern is good,Examination,Positive
excellent!!!,Examination,Positive
every thing is excllent but paper checking is not good,Examination,Neutral
We don't get answers key and even the question papers for our mcq exams.There should be some means by which we could recheck our answers and get to know what mistakes we have made.,Examination,Negative
exam pattern is very nice but paper checking is not at all good .,Examination,Neutral
Exam pattern and marks distribution are excellent but sometimes there are some errors in paper checking.,Examination,Neutral
exam  pattern is very good but if you give question papers to students it is helpful,Examination,Neutral
its better,Examination,Positive
"Exam pattern Very good, Marks distribution good but sometimes disappointing, paper checking OK",Examination,Positive
yeah its obviously good,Examination,Positive
exam pattern is completely different the entire exams are objective oriented resumbling  the education in abroad my review is 5/5,Examination,Positive
everything was good.,Examination,Positive
everything is good.,Examination,Positive
excellent but checking procedure is not exceptable since we  fail to know our faults in mid term..,Examination,Neutral
"Excellent exam pattern, paper checking in this university is easy",Examination,Positive
I don't like the -ve marking system. appart from that everything is great,Examination,Neutral
"Returning the question paper after the exams to be expected,because to clear and clarify the doubts regarding particular subjects",Examination,Negative
examination pattern was excellent,Examination,Positive
"Exams are conducted upon the the basis of the revised chapters upto that point, marks distribution is appropriate, paper checking is good",Examination,Positive
very hard papers and main concept papers,Examination,Neutral
Not so good,Examination,Negative
strict paper correction.,Examination,Negative
super but paper checking is not good,Examination,Neutral
NICE TIMING..,Examination,Positive
That's good to have a negative marking pattern in exam but the time is not sufficient to do all the questions.,Examination,Neutral
EXAMPATTERN IS GOOD AND MARKS DISTRIBUTION IS ALSO GOOD AND PAPER CHECKING IS VERY HARD,Examination,Positive
all are good,Examination,Positive
The examination pattern is good .But time is not sufficient for those questions.,Examination,Neutral
MCQ pattern is quite good and efficient way for evolving students.,Examination,Positive
PAPER CHECKING IS VERY HARD REMAINING IS GOOD,Examination,Neutral
"not satisfactory, lab work must include latest technologies",Lab Work,Negative
Good,Lab Work,Positive
Lab work is properly covered in the labs by the faculty and evaluations help to learn more practical knowledge in depth.,Lab Work,Positive
practical work provides detail knowledge of theoretical work,Lab Work,Positive
Yes,Lab Work,Positive
Everything is going fine in lab . learning new things. That is good for us,Lab Work,Positive
Lab and practical are not upto the mark. The topic which are practiced are almost already done in Btech.,Lab Work,Negative
Not upto the mark,Lab Work,Negative
lab improves practical knowledge,Lab Work,Negative
Sometimes systems at labs are screwed up .Otherwise everything is  at their respected desk.,Lab Work,Neutral
Practical work is fair,Lab Work,Positive
Practical and easy learning,Lab Work,Positive
"The evaluation is again bad for our CA, as one of our faculty is really weird. He gives us remarks on the basis of how we present things in front of it, he never look for the content of our answer, which is really annoying. As he expects us to deliver answer in the way he wants us to do. But how can a person do that, as people do have different mentality and they do explain themselves in different manner, so a teacher must understand that quality of a child and should give him marks on the basis of what they say not what they should say.",Lab Work,Negative
Good.,Lab Work,Positive
well and good infrastructure and have trending software in lab,Lab Work,Positive
Average,Lab Work,Neutral
3 hours practical is so long. It should be of 2 hours only,Lab Work,Negative
ok ok,Lab Work,Positive
practicle must be of 2 hours,Lab Work,Negative
"It's good 
Also depends on teacher's knowledge and student's interest",Lab Work,Positive
All good,Lab Work,Positive
Too much lanlb file work,Lab Work,Negative
Evaluation method is gud.But the content is more to write in file,Lab Work,Neutral
excellent,Lab Work,Positive
Its good,Lab Work,Positive
I think electrotherapy practical should be of 2 hours.That's enough I think.Rest is fine.,Lab Work,Neutral
lab duration of 3 hours is very long .,Lab Work,Negative
It's good,Lab Work,Positive
lab evaluations are pretty good .they help us a lot.,Lab Work,Positive
having good material in labs.,Lab Work,Positive
too much good,Lab Work,Positive
good,Lab Work,Positive
average,Lab Work,Neutral
it is difficult to understand experiment in 1 hour,Lab Work,Negative
lab work is also good,Lab Work,Positive
lab work is quite good,Lab Work,Positive
lab activities are good but not satisfactory in explaining point of view.,Lab Work,Neutral
helps in improving skills,Lab Work,Positive
lab work is nice.,Lab Work,Positive
practical work including evaluations are good so that students can learn about practicals.,Lab Work,Positive
laboratory provides us a good knowledge about practicals.,Lab Work,Positive
practical work insome labs are not upto the marks,Lab Work,Negative
labs are good but experiments are not very informative,Lab Work,Neutral
the labs are not practically built,Lab Work,Negative
practical work is good,Lab Work,Positive
super,Lab Work,Positive
This is the best in our university because there is no other university which takes seriously for practical work.,Lab Work,Positive
"some time lab is not proper working , some teacher's practical knowledge is less on the other side evaluations is not that much good",Lab Work,Negative
satisfactory,Lab Work,Positive
very poor.no equipments are there,Lab Work,Negative
poor,Lab Work,Negative
lab practicals and evaluations are below average and need lot of changes and improvements,Lab Work,Negative
lab practical work can further be improved so that it can meet industrial standards,Lab Work,Negative
excellent work,Lab Work,Positive
very good,Lab Work,Positive
its hard to find a computer working in lab. Students cannot save data in one single PC,Lab Work,Negative
"Not good, becouse in lab teachers donot teach us how to work on live projects or how to make a live project. So i have ovserved that whatever teachers have been teachig us in lab that will not usefull in our future life.",Lab Work,Negative
not good..the timing is too much for labs and syllabus is also so vast.we don't get propr revision,Lab Work,Negative
satisfactory.,Lab Work,Positive
i hate it,Lab Work,Negative
Practical work is in interesting but different teachers evaluate in their own way. Some of the teachers in some section  give marks without taking viva and some does not give marks accordingly,Lab Work,Negative
as per the lab evaluation we r satisfied with  it,Lab Work,Positive
lab and practical work are litial good,Lab Work,Positive
not very good... must be improved.,Lab Work,Negative
bad,Lab Work,Negative
With the help of practicals students are able to understand all the concept.so it is also good.,Lab Work,Positive
GOOD,Lab Work,Positive
LAB IS VERY GOOD,Lab Work,Positive
not good...... must be improve,Lab Work,Negative
Lab evaluations are good.,Lab Work,Positive
it was good but it can be improved,Lab Work,Neutral
most of the teacher don't even bother about the practical performed by students.They give marks just by seeing face or something like that.,Lab Work,Negative
good  but marks are not given properly,Lab Work,Negative
Excellent,Lab Work,Positive
practicals are good but evaluations are not because they don't give enough time to work,Lab Work,Neutral
They are conducted in proper way.,Lab Work,Positive
Teachers are supposed to let the students know the actual use of the instruments used in the lab.,Lab Work,Neutral
excellent ...they  work hard..their way of teaching is also pretty good,Lab Work,Positive
average 3.5/5,Lab Work,Neutral
"In labs,the lecturers has to interact with each student to improve their knowledge, in all the ways,before giving us the work they must explain about the experiment once so that we will come to know how to perform n take precautions while doing,........",Lab Work,Neutral
ok,Lab Work,Positive
its fine.,Lab Work,Positive
More number of lab/practicals should be there to enhance practical knowledge.,Lab Work,Negative
Here we r able to do every thing by our own with u r valuable support,Lab Work,Positive
pretty good,Lab Work,Positive
Very Good,Lab Work,Positive
There are no sufficient lab equipments in the labs and the avilable euipments are also not perfect.,Lab Work,Negative
it is good leaning in lab but the lab instruments are not properly working,Lab Work,Neutral
very bad,Lab Work,Positive
labs are very interesting it is helpful to know the knowledge,Lab Work,Positive
According to me students are doing lab only for marks .,Lab Work,Negative
lab practical work help us to learn the things properly and evalution is also very necessary as it helps us to retain concepts,Lab Work,Positive
Lab or practical work is excellent and yes including evaluations also.,Lab Work,Positive
lab is very much helpful,Lab Work,Positive
in lab also they are showing parilaty,Lab Work,Negative
Lab evaluations are very strict,Lab Work,Negative
the lab evaluations are very strict,Lab Work,Negative
labs n practicals are good.,Lab Work,Positive
practicals are pretty well.,Lab Work,Positive
There is good evaluations in lab regarding practicle,Lab Work,Positive
Very good,Lab Work,Positive
Its Good,Lab Work,Positive
lab and practical works are good..with a little draw back of faculty in connecting  the lab practical to the outside  world..,Lab Work,Neutral
I like it soo much,Lab Work,Positive
Lab is good the Prof explains everything before the lab begins and the Lab Asst helps us during the experiments,Lab Work,Positive
very strcitly they evaluted marks,Lab Work,Negative
Good enough,Lab Work,Positive
nice..enough,Lab Work,Positive
labs are interesting and helpful toknoe the knowledge,Lab Work,Positive
NOT GOOD ...,Lab Work,Negative
Labs helps to know how the work is done.It thought me a good lessons.,Lab Work,Positive
IT IS GOOD,Lab Work,Positive
all labs and practical going on well,Lab Work,Positive
not bad,Lab Work,Positive
Labs are upto the mark.,Lab Work,Positive
Our labs do not have all facalities.,Lab Work,Negative
ALL PRACTICAL WORK IS GOOD,Lab Work,Positive
library facilities are good but number of books are less,Library Facilities,Neutral
Not good,Library Facilities,Negative
